code,audio Url
YB,https://xeno-canto.org/655971/download
YB,https://xeno-canto.org/655970/download
YB,https://xeno-canto.org/655969/download
YB,https://xeno-canto.org/558825/download
YB,https://xeno-canto.org/523487/download
YB,https://xeno-canto.org/523486/download
YB,https://xeno-canto.org/523485/download
YB,https://xeno-canto.org/412914/download
YB,https://xeno-canto.org/34279/download
YB,https://xeno-canto.org/557256/download
YB,https://xeno-canto.org/557257/download
YB,https://xeno-canto.org/551609/download
AA,https://xeno-canto.org/695555/download
AA,https://xeno-canto.org/695553/download
AA,https://xeno-canto.org/637186/download
AA,https://xeno-canto.org/634686/download
AA,https://xeno-canto.org/634685/download
AA,https://xeno-canto.org/622507/download
AA,https://xeno-canto.org/622023/download
AA,https://xeno-canto.org/558819/download
AA,https://xeno-canto.org/523433/download
AA,https://xeno-canto.org/523432/download
AA,https://xeno-canto.org/234367/download
AA,https://xeno-canto.org/65293/download
AA,https://xeno-canto.org/59730/download
AA,https://xeno-canto.org/42638/download
AA,https://xeno-canto.org/34232/download
AA,https://xeno-canto.org/34231/download
AA,https://xeno-canto.org/34230/download
AA,https://xeno-canto.org/690926/download
AA,https://xeno-canto.org/644254/download
AA,https://xeno-canto.org/546241/download
AA,https://xeno-canto.org/534211/download
AA,https://xeno-canto.org/523435/download
AA,https://xeno-canto.org/523434/download
AA,https://xeno-canto.org/523431/download
AA,https://xeno-canto.org/523428/download
AA,https://xeno-canto.org/311896/download
HA,https://xeno-canto.org/664340/download
HA,https://xeno-canto.org/664339/download
HA,https://xeno-canto.org/664338/download
HA,https://xeno-canto.org/637223/download
HA,https://xeno-canto.org/632889/download
HA,https://xeno-canto.org/632888/download
HA,https://xeno-canto.org/616348/download
HA,https://xeno-canto.org/578453/download
HA,https://xeno-canto.org/578444/download
HA,https://xeno-canto.org/577838/download
HA,https://xeno-canto.org/577834/download
HA,https://xeno-canto.org/567524/download
HA,https://xeno-canto.org/557264/download
HA,https://xeno-canto.org/420280/download
HA,https://xeno-canto.org/412913/download
HA,https://xeno-canto.org/412912/download
HA,https://xeno-canto.org/388195/download
HA,https://xeno-canto.org/305672/download
HA,https://xeno-canto.org/234371/download
HA,https://xeno-canto.org/80714/download
HA,https://xeno-canto.org/34176/download
HA,https://xeno-canto.org/616066/download
HA,https://xeno-canto.org/467485/download
HA,https://xeno-canto.org/412436/download
HA,https://xeno-canto.org/305673/download
HA,https://xeno-canto.org/305506/download
HA,https://xeno-canto.org/542588/download
CR,https://xeno-canto.org/648199/download
CR,https://xeno-canto.org/617261/download
CR,https://xeno-canto.org/584556/download
CR,https://xeno-canto.org/584142/download
CR,https://xeno-canto.org/577880/download
CR,https://xeno-canto.org/577879/download
CR,https://xeno-canto.org/652174/download
CR,https://xeno-canto.org/652173/download
CR,https://xeno-canto.org/645223/download
CR,https://xeno-canto.org/642383/download
CR,https://xeno-canto.org/629533/download
CR,https://xeno-canto.org/606530/download
CR,https://xeno-canto.org/591407/download
CR,https://xeno-canto.org/586010/download
CR,https://xeno-canto.org/584141/download
CR,https://xeno-canto.org/567578/download
CR,https://xeno-canto.org/558352/download
CR,https://xeno-canto.org/553443/download
CR,https://xeno-canto.org/533842/download
CR,https://xeno-canto.org/523438/download
CR,https://xeno-canto.org/517527/download
CR,https://xeno-canto.org/406819/download
CR,https://xeno-canto.org/406611/download
CR,https://xeno-canto.org/406610/download
CR,https://xeno-canto.org/284414/download
CR,https://xeno-canto.org/263395/download
CR,https://xeno-canto.org/188433/download
CR,https://xeno-canto.org/188247/download
CR,https://xeno-canto.org/118043/download
CR,https://xeno-canto.org/90052/download
CR,https://xeno-canto.org/34234/download
CR,https://xeno-canto.org/661945/download
CR,https://xeno-canto.org/661944/download
CR,https://xeno-canto.org/638849/download
CR,https://xeno-canto.org/600847/download
CR,https://xeno-canto.org/523437/download
CR,https://xeno-canto.org/476094/download
CR,https://xeno-canto.org/278436/download
CR,https://xeno-canto.org/278305/download
CR,https://xeno-canto.org/188248/download
CR,https://xeno-canto.org/112551/download
CR,https://xeno-canto.org/65421/download
CR,https://xeno-canto.org/546659/download
CR,https://xeno-canto.org/469191/download
ML,https://xeno-canto.org/656069/download
ML,https://xeno-canto.org/656411/download
ML,https://xeno-canto.org/647565/download
ML,https://xeno-canto.org/647560/download
ML,https://xeno-canto.org/647559/download
ML,https://xeno-canto.org/577847/download
ML,https://xeno-canto.org/428907/download
ML,https://xeno-canto.org/428905/download
ML,https://xeno-canto.org/188360/download
ML,https://xeno-canto.org/79170/download
ML,https://xeno-canto.org/34206/download
ML,https://xeno-canto.org/567530/download
ML,https://xeno-canto.org/567526/download
ML,https://xeno-canto.org/567525/download
ML,https://xeno-canto.org/388191/download
ML,https://xeno-canto.org/143755/download
LS,https://xeno-canto.org/667545/download
LS,https://xeno-canto.org/667544/download
LS,https://xeno-canto.org/667543/download
LS,https://xeno-canto.org/645581/download
LS,https://xeno-canto.org/584144/download
LS,https://xeno-canto.org/584143/download
